"Size | Gaussian | Gaussian with choice from column | Gaussian with full choice | Gaussian with choice from row";;;
"Hilbert matrix";;;
"100 5480.67652433955845481250 ";"100 63533.86654880356945795938 ";"100 15977.83096155050770903472 ";"100 42645.35405874315620167181"
"PEI matrix";;;
"3 0.00000000000005684342 ";"3 0.00000000000005684342 ";"3 0.00000000000005684342 ";"3 0.00000000000005684342"
"4 0.00000000000005684342 ";"4 0.00000000000005684342 ";"4 0.00000000000005684342 ";"4 0.00000000000005684342"
"5 0.00000000000001421085 ";"5 0.00000000000001421085 ";"5 0.00000000000001421085 ";"5 0.00000000000001421085"
"6 0.00000000000011368684 ";"6 0.00000000000011368684 ";"6 0.00000000000011368684 ";"6 0.00000000000011368684"
"7 0.00000000000011368684 ";"7 0.00000000000011368684 ";"7 0.00000000000011368684 ";"7 0.00000000000011368684"
"8 0.00000000000011368684 ";"8 0.00000000000011368684 ";"8 0.00000000000011368684 ";"8 0.00000000000011368684"
"9 0.00000000000011368684 ";"9 0.00000000000011368684 ";"9 0.00000000000011368684 ";"9 0.00000000000011368684"
"10 0.00000000000017053026 ";"10 0.00000000000017053026 ";"10 0.00000000000017053026 ";"10 0.00000000000017053026"
"11 0.00000000000022737368 ";"11 0.00000000000022737368 ";"11 0.00000000000022737368 ";"11 0.00000000000022737368"
"12 0.00000000000022737368 ";"12 0.00000000000022737368 ";"12 0.00000000000022737368 ";"12 0.00000000000022737368"
"13 0.00000000000011368684 ";"13 0.00000000000011368684 ";"13 0.00000000000011368684 ";"13 0.00000000000011368684"
"14 0.00000000000028421709 ";"14 0.00000000000028421709 ";"14 0.00000000000028421709 ";"14 0.00000000000028421709"
